x,y,pixel_x,pixel_y,gap_before
1.04698063809424,25.50335570469798,261.5,949,0
1.0846161669849035,26.84563758389261,262.5,945,0
1.1639944785989396,30.033557046979865,264.5,935.5,1
1.2058362722615465,31.04026845637584,265.5,932.5,0
1.4904344607078428,36.74496644295302,271.5,915.5,1
1.4904344607078428,35.290827740492176,271.5,919.8333333333334,0
1.6570100915479973,37.41610738255034,274.5,913.5,1
1.8422027374406735,41.77852348993289,277.5,900.5,1
1.908423899346409,40.77181208053692,278.5,903.5,0
2.0480930943899494,42.61744966442953,280.5,898,1
2.276994403512489,46.812080536912745,283.5,885.5,1
2.358844903454171,45.805369127516784,284.5,888.5,0
2.487170291059332,47.81879194630873,286,882.5,1
2.814404412855326,50.922818791946305,289.5,873.25,1
3.020378357640401,52.68456375838927,291.5,868,1
3.3579453178547785,56.20805369127517,294.5,857.5,1
3.733239820494467,58.333333333333336,297.5,851.1666666666666,1
3.733239820494467,56.87919463087248,297.5,855.5,0
8.560819443384476,65.43624161073825,321,830.0,1
8.868552896866216,66.10738255033557,322,828.0,0
9.187348361294225,66.44295302013423,323,827.0,0
9.517603479774225,67.11409395973155,324,825.0,0
9.859730189380752,71.30872483221476,325,812.5,0
10.214155234978582,71.97986577181209,326,810.5,0
10.581320701514318,72.14765100671141,327,810.0,0
10.96168456544222,72.98657718120805,328,807.5,0
11.355721265971836,76.84563758389262,329,796.0,0
11.763922296850241,77.3489932885906,330,794.5,0
12.186796819416898,77.85234899328859,331,793.0,0
12.624872297695738,78.52348993288591,332,791.0,0
13.078695156316826,82.21476510067114,333,780.0,0
13.54883146208817,82.71812080536913,334,778.5,0
14.035867630067678,83.38926174496645,335,776.5,0
14.540411155016228,83.7248322147651,336,775.5,0
15.063091369144002,87.24832214765101,337,765.0,0
15.604560227095417,87.75167785234899,338,763.5,0
16.16549311915153,88.42281879194631,339,761.5,0
16.746589713664562,88.9261744966443,340,760.0,0
17.34857482977517,89.26174496644295,341,759.0,0
18.61824111432399,92.78523489932886,343,748.5,1
19.28750597544592,93.12080536912751,344,747.5,0
19.980828718920012,93.79194630872483,345,745.5,0
20.699074146914867,94.12751677852349,346,744.5,0
21.443138148407957,94.46308724832215,347,743.5,0
